version,1,,,,,,,,,,,,,,
id,name,strutype,year,occupancy,nStory,storyheight,area,replacementCost,clpsMedian,clpsDispersion,residualMedian,residualDispersion,intensity,autoGenComponents,totalRepairTime(day)
0,bld-00,C1,1990,office,4,2.5,3088.01083,1.61E+07,999,0.5,0.0125,0.3,5,1,180
1,bld-01,RM2,1990,warehouse,2,3,199.62706,3.39E+05,999,0.5,0.0125,0.3,5,1,180
2,bld-02,RM2,1980,research,2,3,192.13436,3.27E+05,999,0.5,0.0125,0.3,5,1,180
3,bld-03,RM2,1995,research,2,3,150.38925,2.56E+05,999,0.5,0.0125,0.3,5,1,180
4,bld-04,RM2,1995,research,2,3,300.6179,5.11E+05,999,0.5,0.0125,0.3,5,1,180
5,bld-05,C1,1990,research,2,6,593.42221,1.54E+06,999,0.5,0.0125,0.3,5,1,180
6,bld-06,C1,1990,research,2,6,353.38807,9.19E+05,999,0.5,0.0125,0.3,5,1,180
7,bld-07,C2,1990,residence,2,3,43.48146,1.22E+05,999,0.5,0.0125,0.3,5,1,180
8,bld-08,C2,1990,residence,2,3,109.22696,3.06E+05,999,0.5,0.0125,0.3,5,1,180
9,bld-09,C2,1990,residence,2,3,113.31825,3.17E+05,999,0.5,0.0125,0.3,5,1,180
10,bld-10,C1,1990,research,1,3.5,287.71983,3.74E+05,999,0.5,0.0125,0.3,5,1,180
11,bld-11,C1,1990,research,1,3.5,50.2368,6.53E+04,999,0.5,0.0125,0.3,5,1,180
12,bld-12,URM,1970,research,3,2.799999,391.33322,9.98E+05,999,0.5,0.0125,0.3,5,1,180
13,bld-13,URM,1970,research,3,2.799999,930.91495,2.37E+06,999,0.5,0.0125,0.3,5,1,180
14,bld-14,URM,1970,research,3,2.799999,202.73116,5.17E+05,999,0.5,0.0125,0.3,5,1,180
15,bld-15,URM,1970,research,3,2.799999,553.81786,1.41E+06,999,0.5,0.0125,0.3,5,1,180
16,bld-16,C1,1970,office,3,2.5,1484.62577,5.79E+06,999,0.5,0.0125,0.3,5,1,180
17,bld-17,URM,1970,warehouse,1,3,366.8749,3.12E+05,999,0.5,0.0125,0.3,5,1,180
18,bld-18,URM,1970,warehouse,2,3,759.5461,1.29E+06,999,0.5,0.0125,0.3,5,1,180
19,bld-19,URM,1970,warehouse,3,3,1142.95847,2.91E+06,999,0.5,0.0125,0.3,5,1,180
20,bld-20,C2,2011,office,8,2.5,8427.00169,9.44E+07,999,0.5,0.0125,0.3,5,1,180
21,bld-21,C2,2011,office,11,2.5,3948.27763,6.08E+07,999,0.5,0.0125,0.3,5,1,180
22,bld-22,C1,1980,warehouse,2,4,1982.25789,5.15E+06,999,0.5,0.0125,0.3,5,1,180
23,bld-23,C1,1980,warehouse,2,3,128.70242,3.35E+05,999,0.5,0.0125,0.3,5,1,180
24,bld-24,C1,1980,warehouse,2,3,217.71158,5.66E+05,999,0.5,0.0125,0.3,5,1,180
25,bld-25,C1,1980,warehouse,2,3,199.36847,5.18E+05,999,0.5,0.0125,0.3,5,1,180
26,bld-26,C1,1980,warehouse,2,3,153.66107,4.00E+05,999,0.5,0.0125,0.3,5,1,180
